title,rating,number_of_reviews,category,address,website,phone,img_link,link
Urban Outfitters,3.8,153,Clothing store,"5 Shires Ln, Leicester LE1 4JB, United Kingdom",urbanoutfitters.com,+44 116 251 0137,https://lh5.googleusercontent.com/p/AF1QipPPMPzIM6VaXIreAHZV3884ue_0hU8dDgx0_Ary=w408-h544-k-no,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x487760e04eb8928f:0xcd8bf94458e1d3be!8m2!3d52.6366671!4d-1.1364118!16s%2Fg%2F11gfd3sfl5!19sChIJj5K4TuBgd0gRvtPhWET5i80?authuser=0&hl=en&rclk=1
Matalan,3.7,477,Clothing store,"100 Church Gate, Leicester LE1 4AL, United Kingdom",store.matalan.co.uk,+44 333 004 4444,https://lh5.googleusercontent.com/p/AF1QipOPb3EeyvgqLRGwHtoNxiR-gdIrN7cY5tKpyIlh=w493-h240-k-no,https://www.google.com/maps/place/Matalan/data=!4m7!3m6!1s0x4877611de241642d:0x2fdd3e84a229b8a7!8m2!3d52.6388487!4d-1.1359388!16s%2Fg%2F1tfm64sk!19sChIJLWRB4h1hd0gRp7gpooQ-3S8?authuser=0&hl=en&rclk=1
Next,4.1,436,Clothing store,"UNIT MSU8, High Cross, Bath House Ln, Leicester LE1 4SA, United Kingdom",next.co.uk,+44 333 005 5606,https://lh5.googleusercontent.com/p/AF1QipPO7vkuDMft8WXS2jM7W70WEQBipk9G-It-j8M0=w408-h306-k-no,https://www.google.com/maps/place/Next/data=!4m7!3m6!1s0x487e7db813f26921:0x892b35988ad7156!8m2!3d52.6372778!4d-1.1374822!16s%2Fg%2F1th5c26k!19sChIJIWnyE7h9fkgRVnGtiFmzkgg?authuser=0&hl=en&rclk=1
Fashion Ghar Leicester,4.2,5,Women's clothing store,"98 Belgrave Rd, Leicester LE4 5AT, United Kingdom",,+44 116 251 4118,https://lh5.googleusercontent.com/p/AF1QipPg-uA-GwT4_vTRrdhrzPhnuKkiDvjW-byFvnGA=w408-h268-k-no,https://www.google.com/maps/place/Fashion+Ghar+Leicester/data=!4m7!3m6!1s0x4877610f60657d0d:0xffc8536229404138!8m2!3d52.6479644!4d-1.124145!16s%2Fg%2F1tflrj0s!19sChIJDX1lYA9hd0gROEFAKWJTyP8?authuser=0&hl=en&rclk=1
PILOT,4.3,76,Clothing store,"58 High St, Leicester LE1 5YP, United Kingdom",mypilot.co.uk,+44 116 262 8200,https://lh5.googleusercontent.com/p/AF1QipOcsCjZWQ5rntM-viLVhno5OgLsrt6kH7mOfnIJ=w426-h240-k-no,https://www.google.com/maps/place/PILOT/data=!4m7!3m6!1s0x487760e0297b1c93:0x1a9d3f8ee4dfaeae!8m2!3d52.6354972!4d-1.1365069!16s%2Fg%2F11hdccx15m!19sChIJkxx7KeBgd0gRrq7f5I4_nRo?authuser=0&hl=en&rclk=1
USC,3.9,38,Clothing store,"52/56 Gallowtree Gate, Leicester LE1 1DA, United Kingdom",usc.co.uk,+44 343 777 1780,https://lh5.googleusercontent.com/p/AF1QipMffRSrTXi1r3fEFUliDZpFegLUf4wj7zlIMIzd=w408-h306-k-no,https://www.google.com/maps/place/USC/data=!4m7!3m6!1s0x48776131636d3b71:0x79c7594aed836f87!8m2!3d52.635399!4d-1.131698!16s%2Fg%2F11fn9fmcv5!19sChIJcTttYzFhd0gRh2-D7UpZx3k?authuser=0&hl=en&rclk=1
RANG JAH,4.3,49,Women's clothing store,"34 St Peters Rd, Leicester LE2 1DA, United Kingdom",rangjah.com,+44 7576 159994,https://lh5.googleusercontent.com/p/AF1QipMazEiKD9r_-_vLpGo7w1p58453DSmNnbXrcIY4=w413-h240-k-no,https://www.google.com/maps/place/RANG+JAH/data=!4m7!3m6!1s0x4877618a02d9d717:0x17f095806e7e143d!8m2!3d52.629711!4d-1.114222!16s%2Fg%2F11ft1wv3dk!19sChIJF9fZAophd0gRPRR-boCV8Bc?authuser=0&hl=en&rclk=1
Maze,4.6,41,Clothing store,"29 High St, Leicester LE1 4FP, United Kingdom",mazefashion.co.uk,+44 116 262 5555,https://lh5.googleusercontent.com/p/AF1QipOHHNUBtVS6Fp36c97eGue9IiuazWfRXcUIczKD=w408-h543-k-no,https://www.google.com/maps/place/Maze/data=!4m7!3m6!1s0x4877611fc7cc179f:0xe046ed957016f3db!8m2!3d52.635879!4d-1.135368!16s%2Fg%2F1tcydznq!19sChIJnxfMxx9hd0gR2_MWcJXtRuA?authuser=0&hl=en&rclk=1
Nim's Boutique,4.3,106,Women's clothing store,"28-30 Market St, Leicester LE1 6DP, United Kingdom",nimsboutique.com,+44 116 243 6770,https://lh5.googleusercontent.com/p/AF1QipNYNd9uzKxstF89fNfDi3Rc8DTpTHW9qDii5A4=w408-h306-k-no,https://www.google.com/maps/place/Nim%27s+Boutique/data=!4m7!3m6!1s0x487760c4d339984f:0xf3859af62a57c957!8m2!3d52.6327142!4d-1.1332046!16s%2Fg%2F11c1qbxngf!19sChIJT5g508Rgd0gRV8lXKvaahfM?authuser=0&hl=en&rclk=1
Saree Mandir,3.9,85,Women's clothing store,"117-119 Belgrave Rd, Leicester LE4 6AS, United Kingdom",sareemandir.com,+44 116 266 8144,https://lh5.googleusercontent.com/p/AF1QipMsQoUuuChIGPGyyrCpGH93y2xla2_Lm5KxezqM=w408-h258-k-no,https://www.google.com/maps/place/Saree+Mandir/data=!4m7!3m6!1s0x48776108dc89a2a9:0xc526c7907633ef37!8m2!3d52.6502159!4d-1.1219726!16s%2Fg%2F1tftkqbj!19sChIJqaKJ3Ahhd0gRN-8zdpDHJsU?authuser=0&hl=en&rclk=1
